 "class" , "classLabel" , "subClassOf" , "subClassOfLabel" ,
 "https://www.sdir.no/SDIR_Simulator#WeatherForcast" , "Weather forcast" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#ElectricPower" , "Electric power" , "https://www.sdir.no/SDIR_Simulator#PowerSource" , "Power source" ,
 "https://www.sdir.no/SDIR_Simulator#Radar" , "Radar" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#Hatch" , "Hatch" , "https://www.sdir.no/SDIR_Simulator#MeansOfClosure" , "Means of closure" ,
 "https://www.sdir.no/SDIR_Simulator#FreshWaterTank" , "Fresh water tank" , "https://www.sdir.no/SDIR_Simulator#Tank" , "Tank" ,
 "https://www.sdir.no/SDIR_Simulator#SteeringAid" , "Steering aid" , "https://www.sdir.no/SDIR_Simulator#Steering" , "Steering" ,
 "https://www.sdir.no/SDIR_Simulator#Gasket" , "Gasket" , "https://www.sdir.no/SDIR_Simulator#SparePart" , "Spare part" ,
 "https://www.sdir.no/SDIR_Simulator#BilgeFlap" , "Bilge flap" , "https://www.sdir.no/SDIR_Simulator#Construction" , "Construction" ,
 "https://www.sdir.no/SDIR_Simulator#ExtinguishingMedium" , "Extinguishing medium" , "https://www.sdir.no/SDIR_Simulator#Fireproofing" , "Firesafety" ,
 "https://www.sdir.no/SDIR_Simulator#ExtinguishingMedium" , "Extinguishing medium" , "https://www.sdir.no/SDIR_Simulator#Substance" , "Substance" ,
 "https://www.sdir.no/SDIR_Simulator#SideHatch" , "Side hatch" , "https://www.sdir.no/SDIR_Simulator#Hatch" , "Hatch" ,
 "https://www.sdir.no/SDIR_Simulator#Navigator" , "Navigator" , "https://www.sdir.no/SDIR_Simulator#Role" , "Role" ,
 "https://www.sdir.no/SDIR_Simulator#TradeArea" , "Trade area" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#DraughtMarks" , "Draught marks" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#GalvanizedSteel" , "Galvanized steel" , "https://www.sdir.no/SDIR_Simulator#NonCombustibleMaterial" , "Non-combustible material" ,
